Theta,Numerical Gradients
0.084147098,-0.009278252
0.090929743,0.00889912
0.014112001,-0.008360108
-0.07568025,0.007628136
-0.095892427,-0.006747984
-0.02794155,-0.01676798
0.06569866,0.039433483
0.098935825,0.059335556
0.041211849,0.024764097
-0.054402111,-0.032688143
-0.099999021,-0.060174472
-0.053657292,-0.031961229
0.042016704,0.024922553
0.099060736,0.059771762
0.065028784,0.038641055
-0.028790332,-0.017370465
-0.096139749,-0.057565867
-0.075098725,-0.045196385
0.014987721,0.00914588
0.091294525,0.054610155
0.084147098,0.31454497
0.090929743,0.111056588
0.014112001,0.097400697
-0.07568025,0.118682669
-0.095892427,3.82E-05
-0.02794155,0.033692656
0.06569866,0.203987128
0.098935825,0.117148233
0.041211849,0.075480126
-0.054402111,0.125698067
-0.099999021,-0.004075883
-0.053657292,0.016967709
0.042016704,0.17633755
0.099060736,0.113133142
0.065028784,0.086162895
-0.028790332,0.132294136
-0.096139749,-0.004529644
-0.075098725,0.001500484
